Region;Del;Kon;Tema;Varde_stand
0126 Huddinge;Hållbarhet;Totalt;Miljö;81,712793376606456
0126 Huddinge;Hållbarhet;Totalt;Social;55,899922778229332
0126 Huddinge;Livskvalitet;Kvinnor;T1;53,281423804226918
0126 Huddinge;Livskvalitet;Kvinnor;T10;73,757332222424822
0126 Huddinge;Livskvalitet;Kvinnor;T11;50,559667125072387
0126 Huddinge;Livskvalitet;Kvinnor;T12;36,055927767884292
0126 Huddinge;Livskvalitet;Kvinnor;T2;34,612909983137349
0126 Huddinge;Livskvalitet;Kvinnor;T3;25,773195876288664
0126 Huddinge;Livskvalitet;Kvinnor;T4;94,275274056029247
0126 Huddinge;Livskvalitet;Kvinnor;T5;28,739559697825385
0126 Huddinge;Livskvalitet;Kvinnor;T6;46,351312439636885
0126 Huddinge;Livskvalitet;Kvinnor;T7;50,087889225311798
0126 Huddinge;Livskvalitet;Kvinnor;T8;50,080524079871878
0126 Huddinge;Livskvalitet;Kvinnor;T9;70,337690161771746
0126 Huddinge;Livskvalitet;Män;T1;36,596218020022249
0126 Huddinge;Livskvalitet;Män;T10;60,378721382918101
0126 Huddinge;Livskvalitet;Män;T11;28,746746893406868
0126 Huddinge;Livskvalitet;Män;T12;52,000476878194291
0126 Huddinge;Livskvalitet;Män;T2;71,921067325628627
0126 Huddinge;Livskvalitet;Män;T3;51,546391752577328
0126 Huddinge;Livskvalitet;Män;T4;93,544457978075542
0126 Huddinge;Livskvalitet;Män;T5;41,005106610298867
0126 Huddinge;Livskvalitet;Män;T6;52,065760193725751
0126 Huddinge;Livskvalitet;Män;T7;44,223223122058670
0126 Huddinge;Livskvalitet;Män;T8;107,110270687788073
0126 Huddinge;Livskvalitet;Män;T9;48,069163499347489
0126 Huddinge;Livskvalitet;Totalt;T1;25,235553775763130
0126 Huddinge;Livskvalitet;Totalt;T10;66,877270588594371
0126 Huddinge;Livskvalitet;Totalt;T11;33,648845138149106
0126 Huddinge;Livskvalitet;Totalt;T12;43,651986600356196
0126 Huddinge;Livskvalitet;Totalt;T2;52,717752932994998
0126 Huddinge;Livskvalitet;Totalt;T3;32,097162133455299
0126 Huddinge;Livskvalitet;Totalt;T4;91,407554644333160
0126 Huddinge;Livskvalitet;Totalt;T5;45,047076944377373
0126 Huddinge;Livskvalitet;Totalt;T6;47,346083506957513
0126 Huddinge;Livskvalitet;Totalt;T7;47,171578286421052
0126 Huddinge;Livskvalitet;Totalt;T8;78,807420012932823
0126 Huddinge;Livskvalitet;Totalt;T9;59,835035840869139
0127 Botkyrka;Hållbarhet;Kvinnor;Ekonomi;8,433448718850387
0127 Botkyrka;Hållbarhet;Kvinnor;Social;54,491903428757219
0127 Botkyrka;Hållbarhet;Män;Ekonomi;17,759444228806771
0127 Botkyrka;Hållbarhet;Män;Social;49,574989919664517
0127 Botkyrka;Hållbarhet;Totalt;Ekonomi;13,336202569097290
0127 Botkyrka;Hållbarhet;Totalt;Miljö;70,226303586301867
0127 Botkyrka;Hållbarhet;Totalt;Social;56,447319199882322
0127 Botkyrka;Livskvalitet;Kvinnor;T1;23,248053392658509
0127 Botkyrka;Livskvalitet;Kvinnor;T10;58,768686311806050
0127 Botkyrka;Livskvalitet;Kvinnor;T11;58,576662262517758
0127 Botkyrka;Livskvalitet;Kvinnor;T12;48,460705549391193
0127 Botkyrka;Livskvalitet;Kvinnor;T2;45,902515495954816
0127 Botkyrka;Livskvalitet;Kvinnor;T3;52,389878163074023
0127 Botkyrka;Livskvalitet;Kvinnor;T4;93,300852618757617
0127 Botkyrka;Livskvalitet;Kvinnor;T5;24,841458742580624
0127 Botkyrka;Livskvalitet;Kvinnor;T6;38,948558830888096
0127 Botkyrka;Livskvalitet;Kvinnor;T7;35,539269353971932
0127 Botkyrka;Livskvalitet;Kvinnor;T8;61,256064348033199
0127 Botkyrka;Livskvalitet;Kvinnor;T9;59,974665158205475
0127 Botkyrka;Livskvalitet;Män;T1;1,612903225806452
0127 Botkyrka;Livskvalitet;Män;T10;37,777051191391024
0127 Botkyrka;Livskvalitet;Män;T11;36,439189698806601
0127 Botkyrka;Livskvalitet;Män;T12;54,493316301616531
0127 Botkyrka;Livskvalitet;Män;T2;75,424170555715051
