Region;Del;Kon;Tema;Varde_stand
06 Jönköpings län;Livskvalitet;Män;T9;56,0825184761018249
06 Jönköpings län;Livskvalitet;Totalt;T1;43,5838521121592777
06 Jönköpings län;Livskvalitet;Totalt;T10;48,5383646257614814
06 Jönköpings län;Livskvalitet;Totalt;T11;31,7439888688938048
06 Jönköpings län;Livskvalitet;Totalt;T12;67,6927170533365654
06 Jönköpings län;Livskvalitet;Totalt;T2;47,8494623655913855
06 Jönköpings län;Livskvalitet;Totalt;T3;61,7855456145036186
06 Jönköpings län;Livskvalitet;Totalt;T4;54,4563909626213203
06 Jönköpings län;Livskvalitet;Totalt;T5;75,1001634651250214
06 Jönköpings län;Livskvalitet;Totalt;T6;57,1006384949956072
06 Jönköpings län;Livskvalitet;Totalt;T7;58,2100653545396014
06 Jönköpings län;Livskvalitet;Totalt;T8;60,1573754145356645
06 Jönköpings län;Livskvalitet;Totalt;T9;64,0352372321267893
07 Kronobergs län;Hållbarhet;Kvinnor;Ekonomi;-15,0727109425158652
07 Kronobergs län;Hållbarhet;Kvinnor;Social;78,3503435484784916
07 Kronobergs län;Hållbarhet;Män;Ekonomi;73,4742526764720623
07 Kronobergs län;Hållbarhet;Män;Social;37,0059040213540200
07 Kronobergs län;Hållbarhet;Totalt;Ekonomi;29,0311487182510568
07 Kronobergs län;Hållbarhet;Totalt;Miljö;64,6180417118004442
07 Kronobergs län;Hållbarhet;Totalt;Social;62,2059602694769467
07 Kronobergs län;Livskvalitet;Kvinnor;T1;73,3333333333333286
07 Kronobergs län;Livskvalitet;Kvinnor;T10;84,6592490692380437
07 Kronobergs län;Livskvalitet;Kvinnor;T11;88,4709516848750326
07 Kronobergs län;Livskvalitet;Kvinnor;T12;40,6728653432193639
07 Kronobergs län;Livskvalitet;Kvinnor;T2;-7,5268817204300991
07 Kronobergs län;Livskvalitet;Kvinnor;T3;33,3333333333333428
07 Kronobergs län;Livskvalitet;Kvinnor;T4;23,9864864864865091
07 Kronobergs län;Livskvalitet;Kvinnor;T5;-26,0308105698426360
07 Kronobergs län;Livskvalitet;Kvinnor;T6;35,0153521006677195
07 Kronobergs län;Livskvalitet;Kvinnor;T7;33,1044059530886585
07 Kronobergs län;Livskvalitet;Kvinnor;T8;-15,1735890462461391
07 Kronobergs län;Livskvalitet;Kvinnor;T9;63,0596494478365983
07 Kronobergs län;Livskvalitet;Män;T1;26,6666666666666643
07 Kronobergs län;Livskvalitet;Män;T10;34,3266621855007372
07 Kronobergs län;Livskvalitet;Män;T11;43,0290171702737538
07 Kronobergs län;Livskvalitet;Män;T12;106,8734154508491514
07 Kronobergs län;Livskvalitet;Män;T2;73,1182795698924792
07 Kronobergs län;Livskvalitet;Män;T3;58,9743589743589851
07 Kronobergs län;Livskvalitet;Män;T4;20,2702702702702631
07 Kronobergs län;Livskvalitet;Män;T5;47,9443063742623536
07 Kronobergs län;Livskvalitet;Män;T6;51,8846865643261097
07 Kronobergs län;Livskvalitet;Män;T7;18,6793385399888869
07 Kronobergs län;Livskvalitet;Män;T8;113,8619910380606655
07 Kronobergs län;Livskvalitet;Män;T9;51,5232900273573762
07 Kronobergs län;Livskvalitet;Totalt;T1;51,9008981474923985
07 Kronobergs län;Livskvalitet;Totalt;T10;58,4067300963697278
07 Kronobergs län;Livskvalitet;Totalt;T11;64,8939029345348359
07 Kronobergs län;Livskvalitet;Totalt;T12;74,9943793350873591
07 Kronobergs län;Livskvalitet;Totalt;T2;33,8709677419354875
07 Kronobergs län;Livskvalitet;Totalt;T3;43,7555834246263515
07 Kronobergs län;Livskvalitet;Totalt;T4;42,5757464692973073
07 Kronobergs län;Livskvalitet;Totalt;T5;16,4882276553906522
07 Kronobergs län;Livskvalitet;Totalt;T6;34,4731773180243906
07 Kronobergs län;Livskvalitet;Totalt;T7;25,8150862206868510
07 Kronobergs län;Livskvalitet;Totalt;T8;50,5072506707151447
07 Kronobergs län;Livskvalitet;Totalt;T9;58,8557802397377401
08 Kalmar län;Hållbarhet;Kvinnor;Ekonomi;-7,5088983235874007
08 Kalmar län;Hållbarhet;Kvinnor;Social;53,4552349729794969
08 Kalmar län;Hållbarhet;Män;Ekonomi;63,4914800186047259
08 Kalmar län;Hållbarhet;Män;Social;58,0631211529781837
08 Kalmar län;Hållbarhet;Totalt;Ekonomi;12,5031361610662781
08 Kalmar län;Hållbarhet;Totalt;Miljö;50,3257381204803522
08 Kalmar län;Hållbarhet;Totalt;Social;60,3040433600961947
08 Kalmar län;Livskvalitet;Kvinnor;T1;110,0000000000000000
08 Kalmar län;Livskvalitet;Kvinnor;T10;80,0166310271485202
08 Kalmar län;Livskvalitet;Kvinnor;T11;82,2853076829724586
08 Kalmar län;Livskvalitet;Kvinnor;T12;52,4727337957427267
08 Kalmar län;Livskvalitet;Kvinnor;T2;4,8387096774193470
08 Kalmar län;Livskvalitet;Kvinnor;T3;20,5128205128205217
08 Kalmar län;Livskvalitet;Kvinnor;T4;8,4459459459459438
08 Kalmar län;Livskvalitet;Kvinnor;T5;0,0893531988474834
08 Kalmar län;Livskvalitet;Kvinnor;T6;61,5484161402772187
08 Kalmar län;Livskvalitet;Kvinnor;T7;72,3163764459187632
08 Kalmar län;Livskvalitet;Kvinnor;T8;24,2928629370886675
08 Kalmar län;Livskvalitet;Kvinnor;T9;45,9063532938205796
08 Kalmar län;Livskvalitet;Män;T1;63,3333333333333286
08 Kalmar län;Livskvalitet;Män;T10;18,6991009282206591
08 Kalmar län;Livskvalitet;Män;T11;-14,5563571834404026
08 Kalmar län;Livskvalitet;Män;T12;30,1420712748146862
08 Kalmar län;Livskvalitet;Män;T2;108,0645161290322562
08 Kalmar län;Livskvalitet;Män;T3;97,4358974358974450
08 Kalmar län;Livskvalitet;Män;T4;3,7162162162162442
08 Kalmar län;Livskvalitet;Män;T5;62,7675356516556633
08 Kalmar län;Livskvalitet;Män;T6;60,8103159156096993
08 Kalmar län;Livskvalitet;Män;T7;57,9592731953304963
08 Kalmar län;Livskvalitet;Män;T8;123,3468123407498638
08 Kalmar län;Livskvalitet;Män;T9;15,8686944496838720
08 Kalmar län;Livskvalitet;Totalt;T1;67,3652720333859492
08 Kalmar län;Livskvalitet;Totalt;T10;48,1964036455642386
08 Kalmar län;Livskvalitet;Totalt;T11;32,5106165844517889
08 Kalmar län;Livskvalitet;Totalt;T12;40,8597225544128548
08 Kalmar län;Livskvalitet;Totalt;T2;57,5268817204300973
08 Kalmar län;Livskvalitet;Totalt;T3;54,3947047721949559
08 Kalmar län;Livskvalitet;Totalt;T4;32,6913734968139096
08 Kalmar län;Livskvalitet;Totalt;T5;49,1324083301831678
08 Kalmar län;Livskvalitet;Totalt;T6;46,3979265412622581
08 Kalmar län;Livskvalitet;Totalt;T7;65,1594193241784438
08 Kalmar län;Livskvalitet;Totalt;T8;74,0663624865397168
08 Kalmar län;Livskvalitet;Totalt;T9;31,5240676089200704
09 Gotlands län;Hållbarhet;Kvinnor;Ekonomi;14,6671108094292482
09 Gotlands län;Hållbarhet;Kvinnor;Social;42,8995277047158652
09 Gotlands län;Hållbarhet;Män;Ekonomi;78,3894446787881805
09 Gotlands län;Hållbarhet;Män;Social;12,7137917938409881
09 Gotlands län;Hållbarhet;Totalt;Ekonomi;18,3892102745879171
09 Gotlands län;Hållbarhet;Totalt;Miljö;47,7968139023713903
09 Gotlands län;Hållbarhet;Totalt;Social;48,2284112702188352
09 Gotlands län;Livskvalitet;Kvinnor;T1;133,3333333333333144
09 Gotlands län;Livskvalitet;Kvinnor;T10;107,9142281954645455
09 Gotlands län;Livskvalitet;Kvinnor;T11;77,6213011950008394
09 Gotlands län;Livskvalitet;Kvinnor;T12;27,5095072949056068
09 Gotlands län;Livskvalitet;Kvinnor;T2;37,6344086021505362
09 Gotlands län;Livskvalitet;Kvinnor;T3;28,2051282051282115
09 Gotlands län;Livskvalitet;Kvinnor;T4;3,7162162162162442
09 Gotlands län;Livskvalitet;Kvinnor;T5;-1,2912229241869682
09 Gotlands län;Livskvalitet;Kvinnor;T6;62,9044276735107459
09 Gotlands län;Livskvalitet;Kvinnor;T7;92,1237446226896282
09 Gotlands län;Livskvalitet;Kvinnor;T8;62,4765275243510985
09 Gotlands län;Livskvalitet;Kvinnor;T9;60,3842202516490687
09 Gotlands län;Livskvalitet;Män;T1;66,6666666666666572
09 Gotlands län;Livskvalitet;Män;T10;19,3520227347924845
09 Gotlands län;Livskvalitet;Män;T11;31,6047573622820543
09 Gotlands län;Livskvalitet;Män;T12;32,6003946424301034
09 Gotlands län;Livskvalitet;Män;T2;161,8279569892472978
09 Gotlands län;Livskvalitet;Män;T3;94,8717948717948616
09 Gotlands län;Livskvalitet;Män;T4;-3,7162162162161958
09 Gotlands län;Livskvalitet;Män;T5;37,2068985063591242
09 Gotlands län;Livskvalitet;Män;T6;36,2892194403816220
09 Gotlands län;Livskvalitet;Män;T7;76,9611326969314717
09 Gotlands län;Livskvalitet;Män;T8;138,3612278633355004
09 Gotlands län;Livskvalitet;Män;T9;19,0117542431097171
09 Gotlands län;Livskvalitet;Totalt;T1;100,0000000000000000
09 Gotlands län;Livskvalitet;Totalt;T10;62,5430459519218189
09 Gotlands län;Livskvalitet;Totalt;T11;54,9516936606398403
09 Gotlands län;Livskvalitet;Totalt;T12;29,9443314996413079
09 Gotlands län;Livskvalitet;Totalt;T2;100,0000000000000000
09 Gotlands län;Livskvalitet;Totalt;T3;52,4179167996595368
09 Gotlands län;Livskvalitet;Totalt;T4;19,0998902305159000
09 Gotlands län;Livskvalitet;Totalt;T5;43,2584316805628362
09 Gotlands län;Livskvalitet;Totalt;T6;49,0589163866668443
09 Gotlands län;Livskvalitet;Totalt;T7;84,7540332176521929
09 Gotlands län;Livskvalitet;Totalt;T8;100,0000000000000000
09 Gotlands län;Livskvalitet;Totalt;T9;41,1612106652332699
10 Blekinge län;Hållbarhet;Kvinnor;Ekonomi;-7,7993264382962684
10 Blekinge län;Hållbarhet;Kvinnor;Social;49,2121053716718322
10 Blekinge län;Hållbarhet;Män;Ekonomi;57,8666886653818793
10 Blekinge län;Hållbarhet;Män;Social;34,3938959911013100
10 Blekinge län;Hållbarhet;Totalt;Ekonomi;27,8945082499066963
10 Blekinge län;Hållbarhet;Totalt;Miljö;60,2573385426434669
10 Blekinge län;Hållbarhet;Totalt;Social;50,4196769543242951
10 Blekinge län;Livskvalitet;Kvinnor;T1;110,0000000000000000
10 Blekinge län;Livskvalitet;Kvinnor;T10;93,2299332907656151
10 Blekinge län;Livskvalitet;Kvinnor;T11;35,9273067039471670
10 Blekinge län;Livskvalitet;Kvinnor;T12;32,8301243721598084
10 Blekinge län;Livskvalitet;Kvinnor;T2;-58,0645161290322420
10 Blekinge län;Livskvalitet;Kvinnor;T3;82,0512820512820440
10 Blekinge län;Livskvalitet;Kvinnor;T4;22,6351351351351369
10 Blekinge län;Livskvalitet;Kvinnor;T5;30,3917135633443820
